Tontine,"Daily Optimiza"," Optimiza<info@lexian.com.au>"," Tontine - Daily Optimiza Schedule Completion Message",Yes
Sheridan,"Optimiza Adhoc"," Optimiza <kevin_gray@lexian.com.au>"," Optimiza - Sheridan UK Downloads",Yes
CNZ,Warning," Optimiza <info@lexian.com.au>"," CNZ - Customer Order Exceptions",No
CNZ,Warning," Optimiza <info@lexian.com.au>"," CNZ - MTD Sales Exceptions",No
Holeproof,Warning," Optimiza <kevin_gray@lexian.com.au>"," Holeproof - Month to date Sales Exceptions",No
"King Gee",Warning," Optimiza <kevin_gray@lexian.com.au>"," KingGee - Inventory Exceptions",No
"King Gee",Warning," Optimiza <kevin_gray@lexian.com.au>"," KingGee - Purchase Order Exceptions",No
Sheridan,Warning," Optimiza <kevin_gray@lexian.com.au>"," Sheridan - Month to date Sales Exceptions",No
Sheridan,"Daily Optimiza"," Optimiza <kevin_gray@lexian.com.au>"," Optimiza - Sheridan Daily BACKUP Completion",Yes
Sleepmaker,Warning," Optimiza <kevin_gray@lexian.com.au>"," Sleepmaker - Customer Order Exceptions",No
Sleepmaker,Warning," Optimiza <kevin_gray@lexian.com.au>"," Sleepmaker - Purchase Order Exceptions",No
Sleepmaker,Warning," Optimiza <kevin_gray@lexian.com.au>"," Sleepmaker - Inventory Exceptions",No
Sleepmaker,Warning," Optimiza <kevin_gray@lexian.com.au>"," Sleepmaker - Month to date Sales Exceptions",No
Sleepmaker,Warning," Optimiza <kevin_gray@lexian.com.au>"," Sleepmaker - Customer Orders greater than Forecast",No
Holeproof,"Daily Optimiza"," Optimiza <kevin_gray@lexian.com.au>"," Underwear and Hosiery Optimiza Schedule Complete",Yes
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
" "," "," "," "," "
,,,,
